Depth,Resistivity,Gamma Ray,Total Porosity,Bulk Density,Actual Poisson Ratio(u),Actual Young Modulus(E),Predicted Poisson Ratio(u),Predicted Young Modulus(E)
6806.903952,0.045987032,0.247789552,0.186806119,0.775629942,0.284732978,6229989.26,0.284099526,6159738.893
6807.37994,0.045939032,0.253875545,0.203034328,0.794373221,0.286362392,6219710.349,0.285546052,5982664.98
6807.476756,0.045968094,0.254683836,0.208786915,0.795372199,0.286679765,6212114.838,0.282747516,6043717.076
6807.5,0.045990188,0.255537103,0.208904363,0.79914926,0.286800595,6216242.477,0.285501196,6090726.911
6808,0.046119043,0.258785404,0.240388177,0.799339369,0.288376938,6168656.097,0.284000593,6005394.634
6808.807904,0.045956475,0.253017216,0.275051819,0.813770243,0.290121687,6077408.955,0.289608382,6023965.056
6809.954624,0.04139024,0.258763085,0.302559037,0.814524433,0.296013231,5945967.731,0.289637074,5875709.59
6810,0.040569081,0.26200802,0.303652122,0.81388275,0.296602923,5937561.342,0.288699251,5849508.891
6811.187844,0.040699744,0.238688959,0.322853923,0.783946522,0.297604283,5878832.452,0.295741419,5882408.791
6811.193558,0.04070349,0.238679101,0.322540805,0.783936175,0.297580047,5879234.266,0.295720661,5880968.545
6811.663832,0.041011797,0.237867738,0.296769464,0.783084551,0.295585277,5912305.813,0.289658661,5898992.098
6812.13982,0.040846539,0.238750903,0.257177961,0.767602355,0.29329482,5937602.302,0.29076817,5938211.967
6813.5,0.04476876,0.247504846,0.221571968,0.754972553,0.289254665,5946344.742,0.285957714,5903867.416
6813.671425,0.043710628,0.24862667,0.225536798,0.773856843,0.289344329,5948532.909,0.286538249,5857452.317
6814,0.041827676,0.250913008,0.233572857,0.810056795,0.28950997,5952880.772,0.292925238,5822500.019
6815.41147,0.040626605,0.248465229,0.246512548,0.860588757,0.291656433,5908657.748,0.291543043,5898051.291
6816.062187,0.041143633,0.250319753,0.265202335,0.808769451,0.294748429,5854327.392,0.292181497,5791301.614
6817.388227,0.033612045,0.252553039,0.201997128,0.756037686,0.293919677,5822582.133,0.290230396,5823070.586
6818.007693,0.034916193,0.240816286,0.20069703,0.802516808,0.290435021,5910564.726,0.286874146,5893123.82
6818.014338,0.035201915,0.240006758,0.201290891,0.806375023,0.290301068,5911553.267,0.28765505,5896691.238
6818.327664,0.035854719,0.235321198,0.200037499,0.824066189,0.288758699,5961463.485,0.287640205,5961936.621
6818.803652,0.037127682,0.233346047,0.206501319,0.81809495,0.286509348,6011393.447,0.286976855,5969179.637
6819.5,0.041663521,0.239383589,0.244092155,0.768351513,0.283548369,6036295.91,0.284331017,5934629.902
6820,0.042167708,0.236694834,0.265575228,0.753736841,0.282693464,6036276.794,0.283004881,5962320.609
6821.5,0.041587851,0.237745117,0.321505297,0.682493287,0.284301818,5965490.081,0.277111115,5831343.988
6822.963428,0.044436734,0.248023743,0.304795655,0.674364053,0.286363111,6060622.231,0.27077769,5908718.821
6823.087544,0.04396233,0.247670822,0.291934617,0.680435082,0.286358929,6071152.437,0.272434336,5801927.032
6823.220073,0.043466162,0.24660625,0.2752052,0.695810416,0.28612404,6082409.648,0.268645545,5539158.541
6824.03952,0.040945296,0.243635841,0.188574213,0.801134201,0.284234335,6124264.245,0.285932258,5947787.888
6824.202362,0.041794699,0.242473498,0.184889303,0.811761166,0.283775977,6118071.34,0.287684603,5828965.758
6825.172224,0.046783876,0.235200077,0.212167248,0.799812401,0.283594326,6027910.001,0.287228405,6065206.699
6825.5,0.046914148,0.235179393,0.228387288,0.776787624,0.284916678,5987869.602,0.284451602,6011155.723
6825.822941,0.047551593,0.235593367,0.227095428,0.773196065,0.286556726,5973856.645,0.286338026,5991804.894
6826.060763,0.047891132,0.236570922,0.222346215,0.778622384,0.287626792,5972663.577,0.28536591,6062317.811
6826.473658,0.048240794,0.239510162,0.207088537,0.802945936,0.289230335,5987443.116,0.288060893,5973909.214
6826.68023,0.047808549,0.238291746,0.19908931,0.822174645,0.29009561,5994154.343,0.284806597,5961743.505
6827.371436,0.046334989,0.233078161,0.181378413,0.86497972,0.293261453,5993733.809,0.290505826,6002301.763
6827.847424,0.045656879,0.228320898,0.190481347,0.85265309,0.295699777,5956703.732,0.291535893,5946870.633
6827.919163,0.045869615,0.227887251,0.194561781,0.845290885,0.296068763,5946718.432,0.290237695,5956815.075
6828,0.045502539,0.226840665,0.195273724,0.845060716,0.296489641,5942178.132,0.289817224,5964195.83
6828.5,0.047923347,0.224680893,0.22972072,0.781278962,0.299053471,5862208.205,0.294627164,5881498.149
6829.076526,0.048374845,0.227863082,0.227468444,0.730012616,0.30079389,5786993.626,0.293264655,5782511.258
6830,0.045106609,0.233391167,0.16719757,0.769349588,0.294996568,5834028.642,0.282651176,6079578.21
6830.227364,0.043010406,0.238390832,0.166018557,0.780263649,0.291670909,5864520.145,0.282207416,6037955.427
6830.397031,0.041596197,0.242780411,0.170508407,0.785052655,0.289465087,5881689.936,0.28223451,6011717.043
6831.028676,0.037024796,0.26024205,0.202081065,0.793466353,0.282168146,5929137.658,0.282364386,5906511.066
6831.679393,0.038421718,0.264977307,0.280150277,0.766262708,0.280758816,5903289.197,0.28100251,5839570.871
6832.255432,0.037058754,0.260725645,0.358182081,0.718556362,0.28228761,5842851.234,0.285756635,5633621.957
6832.5,0.036325992,0.256702682,0.394695903,0.694327606,0.283366178,5809844.213,0.276797678,5519131.998
6832.607304,0.035844723,0.256657848,0.388463879,0.693057741,0.283525425,5808102.969,0.275156738,5686232.414
6832.874898,0.034942546,0.256415961,0.369564616,0.695474707,0.283796611,5810883.119,0.278154395,5731250.038
6833.5,0.035023048,0.254895866,0.300763019,0.742116395,0.283505417,5869670.315,0.28276592,5803690.741
6834,0.038563077,0.251122798,0.26683458,0.77631235,0.283516248,5923000.314,0.285919882,5791678.793
6834.035268,0.038703027,0.251031947,0.26596719,0.775775973,0.28371587,5921939.607,0.286679505,5797751.75
6834.113832,0.039005023,0.250862886,0.263973569,0.774534223,0.284167461,5919416.75,0.285915435,5791471.124
6834.282261,0.03968315,0.250395682,0.259892542,0.772019513,0.2851139,5914511.06,0.286597785,5813429.972
6835.352766,0.040667125,0.263819065,0.211766362,0.774167778,0.29412036,5836003.592,0.275933216,5990361.966
6835.463232,0.040892981,0.265783349,0.207327054,0.781773542,0.295089274,5831364.522,0.284707388,5832182.288
6836.5,0.039702622,0.246465712,0.190310393,0.842280364,0.298032135,5832829.988,0.29437279,5834684.304
6837.5,0.042652969,0.224296065,0.191717905,0.806112022,0.293566362,5858221.872,0.291673208,5848050.362
6838.837279,0.041390711,0.23561084,0.217351632,0.821238227,0.295035479,5851472.628,0.293658548,5858393.511
6839.5,0.046785895,0.236962899,0.209941477,0.805351584,0.297589079,5795787.037,0.292544099,5883115.85
6839.689034,0.046132828,0.238171657,0.201255973,0.809335919,0.298236626,5788025.673,0.293400115,5898693.105
6840.5,0.04203718,0.245191131,0.183865472,0.83170552,0.301397225,5754662.78,0.287784146,5826912.263
6841.5,0.040875395,0.244084468,0.233202459,0.809391412,0.302046838,5709472.552,0.295302572,5844742.942
6842.166902,0.03649205,0.249237222,0.232906637,0.813881121,0.298627141,5738429.017,0.291487976,5824853.37
6843,0.03872916,0.264461274,0.201792725,0.837313752,0.293564212,5804823.955,0.292238117,5784571.462
6844.644769,0.036843708,0.255274209,0.198270786,0.787060549,0.285639177,5939347.226,0.286000602,5933679.666
6845.995165,0.038038882,0.249748362,0.242062217,0.754062274,0.287664584,5924114.987,0.28747596,5912551.224
6847,0.037184351,0.250183625,0.20268168,0.78377415,0.289021286,5879694.707,0.286184068,5912378.639
6847.5,0.03705068,0.246757113,0.194903326,0.796749127,0.286765152,5864106.609,0.285869735,5870231.531
6849.266883,0.038128546,0.240573798,0.164307023,0.862856025,0.285368393,5889143.277,0.285323811,5876079.937
6849.600503,0.037160698,0.243792957,0.178854642,0.858580447,0.286980443,5871461.205,0.286387452,5881830.15
